Rain,GSR,RH,Temp,WD,WS,PM2.5,PM10,O3,No,No2,Nox,SO2,שעה,תחנה
0,720.7,43,21.5,67,3.7,,47.6,57.5,0.5,4.9,5.3,2.6,08:45,גליל מערבי
,,,,110,3.3,20,,,0.1,0.5,0.6,,08:40,כביש 859 רגבה
,,,,112,4.6,,,51.9,,,,,08:45,כפר מסריק 2
